Score,ID,Sutur,Scorer,Time,Session,Sex,Age,PersBase,PersSut,SuturFinal,SutFinalAdjusted,SutFinalLog,Time1,Tim1Sqrt,Time2,Time2Sqrt,TaskName
20,12,3.5,2,20:00,3,Male,23,0.006280287,0.008620974,0.002340688,0.008974878,-4.713325913,1200,34.64101615,342.8571429,18.516402,Suturing
19,13,3.5,2,20:00,3,Male,22,0.005062228,0.004679217,-0.000383011,0.006251179,-5.07498515,1200,34.64101615,342.8571429,18.516402,Suturing
27,19,6,2,14:30,3,Female,23,0.007526014,0.00665644,-0.000869574,0.005764616,-5.156016661,870,29.49576241,145,12.04159458,Suturing
16,21,4,2,20:00,3,Female,22,0.008584695,0.010541592,0.001956897,0.008591087,-4.757029991,1200,34.64101615,300,17.32050808,Suturing
26,22,6,2,19:15,3,Female,26,0.006974816,0.008093807,0.001118991,0.007753181,-4.859652066,1155,33.98529094,192.5,13.87443693,Suturing
22,24,6,2,18:10,3,Female,25,0.00697524,0.008502087,0.001526848,0.008161038,-4.808383887,1090,33.01514804,181.6666667,13.47837775,Suturing
25,26,6,2,19:45,3,Female,22,0.005298562,0.005811156,0.000512593,0.007146784,-4.941092848,1185,34.42382896,197.5,14.05346932,Suturing
17,1,2.5,1,20:00,4,Male,22,NA,0.007459585,NA,NA,NA,1200,34.64101615,480,21.9089023,Suturing
19,2,4,1,20:00,4,Male,23,0.006479966,0.005783802,-0.000696164,0.005938027,-5.126378359,1200,34.64101615,300,17.32050808,Suturing
24,3,6,1,15:25,4,Male,23,0.006272187,0.008798202,0.002526015,0.009160205,-4.692886678,925,30.41381265,154.1666667,12.41638702,Suturing
22,4,6,1,17:30,4,Male,23,0.007415427,0.007656514,0.000241088,0.006875278,-4.979823194,1050,32.40370349,175,13.22875656,Suturing
29,7,6,1,12:10,4,Male,25,0.009025241,0.008528037,-0.000497204,0.006136986,-5.093421518,730,27.01851217,121.6666667,11.03026141,Suturing
28,8,6,1,11:55,4,Male,22,0.006478232,0.006690486,0.000212254,0.006846445,-4.984025779,715,26.73948391,119.1666667,10.9163486,Suturing
14,10,5.5,1,18:35,4,Male,24,0.007354116,0.008148792,0.000794676,0.007428866,-4.902382011,1115,33.39161571,202.7272727,14.23823278,Suturing
20,11,5.5,1,20:00,4,Male,22,0.007498998,0.008491748,0.000992751,0.007626941,-4.876068429,1200,34.64101615,218.1818182,14.77097892,Suturing
20,12,6,1,19:45,4,Male,23,0.006564055,0.008775202,0.002211148,0.008845338,-4.727864735,1185,34.42382896,197.5,14.05346932,Suturing
17,13,3,1,20:00,4,Male,22,0.005510568,0.005303931,-0.000206637,0.006427554,-5.047161227,1200,34.64101615,400,20,Suturing
