"Score","ID","Sutur","Scorer","Time","Session","Sex","Age","PersBase","PersSut","SuturFinal","SutFinalAdjusted","SutFinalLog","SuturQuality","SuturQuantity"
22,4,6,1,"17:30",4,"Male",23,0.00741542667031174,0.00765651420048086,0.000241087530169115,0.105875278039481,-2.24549349990257,3.66666666666667,2.91666666666667
29,7,6,1,"12:10",4,"Male",25,0.00902524107173353,0.00852803667736436,-0.000497204394369169,0.105136986114943,-2.25249114944831,4.83333333333333,2.02777777777778
28,8,6,1,"11:55",4,"Male",22,0.00647823185217462,0.00669048607388354,0.000212254221708915,0.105846444731021,-2.24576586976865,4.66666666666667,1.98611111111111
14,10,5.5,1,"18:35",4,"Male",24,0.00735411583474922,0.00814879166088465,0.000794675826135427,0.106428866335447,-2.24027843872464,2.54545454545455,3.37878787878788
20,11,5.5,1,"20:00",4,"Male",22,0.00749899785269886,0.00849174836291172,0.000992750510212864,0.106626941019525,-2.23841906916694,3.63636363636364,3.63636363636364
20,12,6,1,"19:45",4,"Male",23,0.00656405456053953,0.00877520208063505,0.00221114752009552,0.107845338029407,-2.22705713351235,3.33333333333333,3.29166666666667
17,13,3,1,"20:00",4,"Male",22,0.00551056788006227,0.00530393131166996,-0.000206636568392314,0.105427553940919,-2.24973125445044,5.66666666666667,6.66666666666667
25,19,6,1,"12:10",4,"Female",23,0.00619429659033838,0.00771519720591814,0.00152090061557975,0.107155091124892,-2.23347804419325,4.16666666666667,2.02777777777778
24,21,5.5,1,"20:00",4,"Female",22,0.00648127828589817,0.010517983514959,0.00403670522906086,0.109670895738373,-2.21027125466452,4.36363636363636,3.63636363636364
24,22,6,1,"19:55",4,"Female",26,0.00742879830106546,0.00852457647286772,0.00109577817180226,0.106729968681114,-2.23745329149663,4,3.31944444444444
23,24,5,1,"19:55",4,"Female",25,0.00605382904428292,0.00869569885324261,0.00264186980895968,0.108276060318271,-2.22307119910306,4.6,3.98333333333333
25,26,6,1,"14:25",4,"Female",22,0.00527533300960183,0.00516070854722066,-0.00011462446238117,0.105519566046931,-2.24885888310115,4.16666666666667,2.40277777777778
18,1,2.5,2,"20:00",4,"Male",22,NA,0.00745958510933227,NA,NA,NA,7.2,8
21,2,4,2,"20:00",4,"Male",23,0.00647996583216498,0.00578380230353384,-0.00069616352863114,0.104938026980681,-2.25438532230416,5.25,5
25,3,6,2,"15:25",4,"Male",23,0.00627218743652554,0.00879820231589308,0.00252601487936754,0.108160205388679,-2.22414176775549,4.16666666666667,2.56944444444444
24,4,6,2,"17:30",4,"Male",23,0.00741542667031174,0.00765651420048086,0.000241087530169115,0.105875278039481,-2.24549349990257,4,2.91666666666667
28,7,6,2,"12:10",4,"Male",25,0.00902524107173353,0.00852803667736436,-0.000497204394369169,0.105136986114943,-2.25249114944831,4.66666666666667,2.02777777777778
29,8,6,2,"11:55",4,"Male",22,0.00647823185217462,0.00669048607388354,0.000212254221708915,0.105846444731021,-2.24576586976865,4.83333333333333,1.98611111111111
19,10,5.5,2,"18:35",4,"Male",24,0.00735411583474922,0.00814879166088465,0.000794675826135427,0.106428866335447,-2.24027843872464,3.45454545454545,3.37878787878788
