,Score,Scorer,Time,Session,Sex,Age,PersBase,PersCut,CutFinal
129,28,1,2:30,5,Male,23,0.006790488,0.009830742,0.003040255
130,29,1,1:45,5,Male,22,0.00858393,0.007661869,-0.000922061
131,27,1,2:20,5,Female,23,0.00681288,0.008316978,0.001504098
132,25,1,1:40,5,Female,22,0.006031647,0.008990092,0.002958445
133,26,1,3:30,5,Female,26,0.006856825,0.006851448,-5.38E-06
134,22,1,8:15,5,Female,25,0.00645223,0.007302603,0.000850373
135,26,1,2:10,5,Female,22,0.004764787,0.005545815,0.000781028
136,23,2,4:05,5,Male,22,0.02950804,0.012146963,-0.017361077
137,22,2,4:25,5,Male,23,0.006701418,0.006128214,-0.000573203
138,24,2,3:15,5,Male,23,0.008157108,0.008691801,0.000534693
139,19,2,1:55,5,Male,23,0.007356058,0.007997844,0.000641786
140,23,2,3:00,5,Male,25,0.006230693,0.006462659,0.000231966
141,25,2,4:30,5,Male,22,0.007585527,0.007372626,-0.000212902
142,21,2,2:15,5,Male,24,NA,NA,NA
143,16,2,1:20,5,Male,22,0.006326574,0.007499978,0.001173404
144,24,2,2:30,5,Male,23,0.006790488,0.009830742,0.003040255
145,25,2,1:45,5,Male,22,0.00858393,0.007661869,-0.000922061
146,28,2,2:20,5,Female,23,0.00681288,0.008316978,0.001504098
147,26,2,1:40,5,Female,22,0.006031647,0.008990092,0.002958445
148,24,2,3:30,5,Female,26,0.006856825,0.006851448,-5.38E-06
149,24,2,8:15,5,Female,25,0.00645223,0.007302603,0.000850373
150,25,2,2:10,5,Female,22,0.004764787,0.005545815,0.000781028
