,Score,Scorer,Task,Time,Session,Sex,Age,PersBase,PersCut,PersSut
109,24,2,Suturing,17:30,4,Male,23,0.007415427,0.007506992,0.007656514
110,28,2,Suturing,12:10,4,Male,25,0.009025241,0.006820336,0.008528037
111,29,2,Suturing,11:55,4,Male,22,0.006478232,0.006693889,0.006690486
112,19,2,Suturing,18:35,4,Male,24,0.007354116,0.007729419,0.008148792
113,22,2,Suturing,20:00,4,Male,22,0.007498998,0.009856716,0.008491748
114,22,2,Suturing,19:45,4,Male,23,0.006564055,0.009219518,0.008775202
115,18,2,Suturing,20:00,4,Male,22,0.005510568,0.004842727,0.005303931
116,24,2,Suturing,12:10,4,Female,23,0.006194297,0.007106913,0.007715197
117,23,2,Suturing,20:00,4,Female,22,0.006481278,0.007349012,0.010517984
118,24,2,Suturing,19:55,4,Female,26,0.007428798,0.007938335,0.008524576
119,22,2,Suturing,19:55,4,Female,25,0.006053829,0.007794351,0.008695699
120,20,2,Suturing,14:25,4,Female,22,0.005275333,0.004866012,0.005160709
121,15,1,Suturing,20:00,5,Male,22,0.02950804,0.012146963,NA
122,20,1,Suturing,19:10,5,Male,23,0.006701418,0.006128214,0.005889838
123,23,1,Suturing,18:10,5,Male,23,0.008157108,0.008691801,0.007939287
124,22,1,Suturing,16:05,5,Male,23,0.007356058,0.007997844,0.007923086
125,23,1,Suturing,17:10,5,Male,25,0.006230693,0.006462659,0.007076777
126,27,1,Suturing,18:05,5,Male,22,0.007585527,0.007372626,0.006629658
127,15,1,Suturing,14:10,5,Male,24,NA,NA,NA
128,23,1,Suturing,19:00,5,Male,22,0.006326574,0.007499978,0.007362815
129,24,1,Suturing,20:00,5,Male,23,0.006790488,0.009830742,0.007904935
130,19,1,Suturing,20:00,5,Male,22,0.00858393,0.007661869,0.008613481
131,27,1,Suturing,12:55,5,Female,23,0.00681288,0.008316978,0.008229919
132,25,1,Suturing,18:35,5,Female,22,0.006031647,0.008990092,0.01114313
133,26,1,Suturing,19:20,5,Female,26,0.006856825,0.006851448,0.007624814
134,23,1,Suturing,19:40,5,Female,25,0.00645223,0.007302603,0.006531594
135,27,1,Suturing,12:35,5,Female,22,0.004764787,0.005545815,0.005461965
136,17,2,Suturing,20:00,5,Male,22,0.02950804,0.012146963,NA
137,21,2,Suturing,19:10,5,Male,23,0.006701418,0.006128214,0.005889838
138,23,2,Suturing,18:10,5,Male,23,0.008157108,0.008691801,0.007939287
139,25,2,Suturing,16:05,5,Male,23,0.007356058,0.007997844,0.007923086
140,27,2,Suturing,17:10,5,Male,25,0.006230693,0.006462659,0.007076777
141,28,2,Suturing,18:05,5,Male,22,0.007585527,0.007372626,0.006629658
142,21,2,Suturing,14:10,5,Male,24,NA,NA,NA
143,20,2,Suturing,19:00,5,Male,22,0.006326574,0.007499978,0.007362815
144,21,2,Suturing,20:00,5,Male,23,0.006790488,0.009830742,0.007904935
145,17,2,Suturing,20:00,5,Male,22,0.00858393,0.007661869,0.008613481
146,27,2,Suturing,12:55,5,Female,23,0.00681288,0.008316978,0.008229919
147,22,2,Suturing,18:35,5,Female,22,0.006031647,0.008990092,0.01114313
148,20,2,Suturing,19:20,5,Female,26,0.006856825,0.006851448,0.007624814
149,20,2,Suturing,19:40,5,Female,25,0.00645223,0.007302603,0.006531594
150,27,2,Suturing,12:35,5,Female,22,0.004764787,0.005545815,0.005461965
