,Score,Sutur,Scorer,Time,Session,Sex,Age,PersBase,PersSut,SuturFinal,SutFinalAdjusted,SutFinalLog,SuturQuality,SuturQuantity
114,22,6,2,19:45,4,Male,23,0.006564055,0.008775202,0.002211148,0.107845338,-2.227057134,3.666666667,3.291666667
115,18,3,2,20:00,4,Male,22,0.005510568,0.005303931,-0.000206637,0.105427554,-2.249731254,6,6.666666667
116,24,6,2,12:10,4,Female,23,0.006194297,0.007715197,0.001520901,0.107155091,-2.233478044,4,2.027777778
117,23,5.5,2,20:00,4,Female,22,0.006481278,0.010517984,0.004036705,0.109670896,-2.210271255,4.181818182,3.636363636
118,24,6,2,19:55,4,Female,26,0.007428798,0.008524576,0.001095778,0.106729969,-2.237453291,4,3.319444444
119,22,5,2,19:55,4,Female,25,0.006053829,0.008695699,0.00264187,0.10827606,-2.223071199,4.4,3.983333333
120,20,6,2,14:25,4,Female,22,0.005275333,0.005160709,-0.000114624,0.105519566,-2.248858883,3.333333333,2.402777778
121,15,2.5,1,20:00,5,Male,22,0.02950804,NA,NA,NA,NA,6,8
122,20,6,1,19:10,5,Male,23,0.006701418,0.005889838,-0.00081158,0.10482261,-2.255485782,3.333333333,3.194444444
123,23,6,1,18:10,5,Male,23,0.008157108,0.007939287,-0.000217822,0.105416369,-2.249837352,3.833333333,3.027777778
124,22,6,1,16:05,5,Male,23,0.007356058,0.007923086,0.000567027,0.106201218,-2.242419704,3.666666667,2.680555556
125,23,6,1,17:10,5,Male,25,0.006230693,0.007076777,0.000846084,0.106480275,-2.239795527,3.833333333,2.861111111
126,27,6,1,18:05,5,Male,22,0.007585527,0.006629658,-0.000955869,0.104678322,-2.256863235,4.5,3.013888889
127,15,6,1,14:10,5,Male,24,NA,NA,NA,NA,NA,2.5,2.361111111
128,23,6,1,19:00,5,Male,22,0.006326574,0.007362815,0.001036241,0.106670432,-2.238011274,3.833333333,3.166666667
129,24,5,1,20:00,5,Male,23,0.006790488,0.007904935,0.001114447,0.106748638,-2.23727839,4.8,4
130,19,3,1,20:00,5,Male,22,0.00858393,0.008613481,2.96E-05,0.105663742,-2.247493476,6.333333333,6.666666667
131,27,6,1,12:55,5,Female,23,0.00681288,0.008229919,0.001417039,0.10705123,-2.234447776,4.5,2.152777778
132,25,6,1,18:35,5,Female,22,0.006031647,0.01114313,0.005111483,0.110745673,-2.200518937,4.166666667,3.097222222
133,26,6,1,19:20,5,Female,26,0.006856825,0.007624814,0.000767989,0.10640218,-2.240529217,4.333333333,3.222222222
134,23,6,1,19:40,5,Female,25,0.00645223,0.006531594,7.94E-05,0.105713554,-2.247022161,3.833333333,3.277777778
135,27,6,1,12:35,5,Female,22,0.004764787,0.005461965,0.000697178,0.106331369,-2.24119494,4.5,2.097222222
136,17,2.5,2,20:00,5,Male,22,0.02950804,NA,NA,NA,NA,6.8,8
137,21,6,2,19:10,5,Male,23,0.006701418,0.005889838,-0.00081158,0.10482261,-2.255485782,3.5,3.194444444
138,23,6,2,18:10,5,Male,23,0.008157108,0.007939287,-0.000217822,0.105416369,-2.249837352,3.833333333,3.027777778
139,25,6,2,16:05,5,Male,23,0.007356058,0.007923086,0.000567027,0.106201218,-2.242419704,4.166666667,2.680555556
140,27,6,2,17:10,5,Male,25,0.006230693,0.007076777,0.000846084,0.106480275,-2.239795527,4.5,2.861111111
141,28,6,2,18:05,5,Male,22,0.007585527,0.006629658,-0.000955869,0.104678322,-2.256863235,4.666666667,3.013888889
142,21,6,2,14:10,5,Male,24,NA,NA,NA,NA,NA,3.5,2.361111111
143,20,6,2,19:00,5,Male,22,0.006326574,0.007362815,0.001036241,0.106670432,-2.238011274,3.333333333,3.166666667
144,21,5,2,20:00,5,Male,23,0.006790488,0.007904935,0.001114447,0.106748638,-2.23727839,4.2,4
145,17,3,2,20:00,5,Male,22,0.00858393,0.008613481,2.96E-05,0.105663742,-2.247493476,5.666666667,6.666666667
146,27,6,2,12:55,5,Female,23,0.00681288,0.008229919,0.001417039,0.10705123,-2.234447776,4.5,2.152777778
147,22,6,2,18:35,5,Female,22,0.006031647,0.01114313,0.005111483,0.110745673,-2.200518937,3.666666667,3.097222222
148,20,6,2,19:20,5,Female,26,0.006856825,0.007624814,0.000767989,0.10640218,-2.240529217,3.333333333,3.222222222
149,20,6,2,19:40,5,Female,25,0.00645223,0.006531594,7.94E-05,0.105713554,-2.247022161,3.333333333,3.277777778
150,27,6,2,12:35,5,Female,22,0.004764787,0.005461965,0.000697178,0.106331369,-2.24119494,4.5,2.097222222
