Score,Scorer,Time,Session,Sex,Age,Task,FinalPP,BasePP,lnBasePP,TaskPP,lnTaskPP
25,2,15:25,4,Male,23,Suturing,0.146974931,0.006272187,-2.202581002,0.008798202,-2.055606071
24,2,17:30,4,Male,23,Suturing,0.013894917,0.007415427,-2.129863836,0.007656514,-2.115968919
28,2,12:10,4,Male,25,Suturing,-0.024609732,0.009025241,-2.044541192,0.008528037,-2.069150924
29,2,11:55,4,Male,22,Suturing,0.014001169,0.006478232,-2.188543503,0.006690486,-2.174542334
19,2,18:35,4,Male,24,Suturing,0.044562757,0.007354116,-2.133469524,0.008148792,-2.088906768
22,2,20:00,4,Male,22,Suturing,0.05399386,0.007498998,-2.124996762,0.008491748,-2.071002902
22,2,19:45,4,Male,23,Suturing,0.126084911,0.006564055,-2.182827789,0.008775202,-2.056742878
18,2,20:00,4,Male,22,Suturing,-0.0165985,0.005510568,-2.258803634,0.005303931,-2.275402134
24,2,12:10,4,Female,23,Suturing,0.095354995,0.006194297,-2.208007975,0.007715197,-2.11265298
23,2,20:00,4,Female,22,Suturing,0.210271856,0.006481278,-2.18833935,0.010517984,-1.978067494
24,2,19:55,4,Female,26,Suturing,0.059754238,0.007428798,-2.129081451,0.008524576,-2.069327213
