Score,Subject,Task,Timesec,Scorer,Time,Session,Sex,Age,PPLog,PersBase,PersCut,CutFinal,CutFinalAdjusted,CutFinalLog,Time
14,4,Cutting,135,1,2:15,4,Male,23,-2.141720072,0.007415427,0.007506992,9.16E-05,0.117452642,-2.141720072,2:15
28,7,Cutting,170,1,2:50,4,Male,25,-2.161466056,0.009025241,0.006820336,-0.002204906,0.115156172,-2.161466056,2:50
28,8,Cutting,265,1,4:25,4,Male,22,-2.140664096,0.006478232,0.006693889,0.000215657,0.117576735,-2.140664096,4:25
19,10,Cutting,135,1,2:15,4,Male,24,-2.139307217,0.007354116,0.007729419,0.000375303,0.117736381,-2.139307217,2:15
13,11,Cutting,180,1,3:00,4,Male,22,-2.122609654,0.007498998,0.009856716,0.002357718,0.119718796,-2.122609654,3:00
27,12,Cutting,200,1,3:20,4,Male,23,-2.120125703,0.006564055,0.009219518,0.002655464,0.120016541,-2.120125703,3:20
25,13,Cutting,90,1,1:30,4,Male,22,-2.148206698,0.005510568,0.004842727,-0.000667841,0.116693236,-2.148206698,1:30
27,19,Cutting,145,1,2:25,4,Female,23,-2.134753898,0.006194297,0.007106913,0.000912617,0.118273694,-2.134753898,2:25
28,21,Cutting,110,1,1:50,4,Female,22,-2.135133451,0.006481278,0.007349012,0.000867734,0.118228812,-2.135133451,1:50
26,22,Cutting,265,1,4:25,4,Female,26,-2.138167751,0.007428798,0.007938335,0.000509536,0.117870614,-2.138167751,4:25
25,24,Cutting,410,1,6:50,4,Female,25,-2.127778372,0.006053829,0.007794351,0.001740522,0.1191016,-2.127778372,6:50
27,26,Cutting,75,1,1:15,4,Female,22,-2.145993768,0.005275333,0.004866012,-0.000409321,0.116951756,-2.145993768,1:15
23,1,Cutting,153,2,2:33,4,Male,22,NA,NA,NA,NA,NA,NA,2:33
21,2,Cutting,200,2,3:20,4,Male,23,-2.141927821,0.006479966,0.006547132,6.72E-05,0.117428244,-2.141927821,3:20
25,3,Cutting,225,2,3:45,4,Male,23,-2.117366105,0.006272187,0.009259306,0.002987119,0.120348196,-2.117366105,3:45
15,4,Cutting,135,2,2:15,4,Male,23,-2.141720072,0.007415427,0.007506992,9.16E-05,0.117452642,-2.141720072,2:15
27,7,Cutting,170,2,2:50,4,Male,25,-2.161466056,0.009025241,0.006820336,-0.002204906,0.115156172,-2.161466056,2:50
25,8,Cutting,265,2,4:25,4,Male,22,-2.140664096,0.006478232,0.006693889,0.000215657,0.117576735,-2.140664096,4:25
24,10,Cutting,135,2,2:15,4,Male,24,-2.139307217,0.007354116,0.007729419,0.000375303,0.117736381,-2.139307217,2:15
19,11,Cutting,180,2,3:00,4,Male,22,-2.122609654,0.007498998,0.009856716,0.002357718,0.119718796,-2.122609654,3:00
25,12,Cutting,200,2,3:20,4,Male,23,-2.120125703,0.006564055,0.009219518,0.002655464,0.120016541,-2.120125703,3:20
22,13,Cutting,90,2,1:30,4,Male,22,-2.148206698,0.005510568,0.004842727,-0.000667841,0.116693236,-2.148206698,1:30
27,19,Cutting,145,2,2:25,4,Female,23,-2.134753898,0.006194297,0.007106913,0.000912617,0.118273694,-2.134753898,2:25
22,21,Cutting,110,2,1:50,4,Female,22,-2.135133451,0.006481278,0.007349012,0.000867734,0.118228812,-2.135133451,1:50
25,22,Cutting,265,2,4:25,4,Female,26,-2.138167751,0.007428798,0.007938335,0.000509536,0.117870614,-2.138167751,4:25
29,24,Cutting,410,2,6:50,4,Female,25,-2.127778372,0.006053829,0.007794351,0.001740522,0.1191016,-2.127778372,6:50
24,26,Cutting,75,2,1:15,4,Female,22,-2.145993768,0.005275333,0.004866012,-0.000409321,0.116951756,-2.145993768,1:15
22,1,Cutting,245,1,4:05,5,Male,22,-2.302585093,0.02950804,0.012146963,-0.017361077,0.1,-2.302585093,4:05
24,2,Cutting,265,1,4:25,5,Male,23,-2.147396031,0.006701418,0.006128214,-0.000573203,0.116787874,-2.147396031,4:25
25,3,Cutting,195,1,3:15,5,Male,23,-2.137954346,0.008157108,0.008691801,0.000534693,0.11789577,-2.137954346,3:15
15,4,Cutting,115,1,1:55,5,Male,23,-2.137046388,0.007356058,0.007997844,0.000641786,0.118002863,-2.137046388,1:55
25,7,Cutting,180,1,3:00,5,Male,25,-2.140525398,0.006230693,0.006462659,0.000231966,0.117593044,-2.140525398,3:00
27,8,Cutting,270,1,4:30,5,Male,22,-2.144315687,0.007585527,0.007372626,-0.000212902,0.117148176,-2.144315687,4:30
18,10,Cutting,135,1,2:15,5,Male,24,NA,NA,NA,NA,NA,NA,2:15
16,11,Cutting,80,1,1:20,5,Male,22,-2.132551381,0.006326574,0.007499978,0.001173404,0.118534481,-2.132551381,1:20
28,12,Cutting,150,1,2:30,5,Male,23,-2.116924681,0.006790488,0.009830742,0.003040255,0.120401332,-2.116924681,2:30
29,13,Cutting,105,1,1:45,5,Male,22,-2.150387607,0.00858393,0.007661869,-0.000922061,0.116439016,-2.150387607,1:45
27,19,Cutting,140,1,2:20,5,Female,23,-2.129765405,0.00681288,0.008316978,0.001504098,0.118865176,-2.129765405,2:20
25,21,Cutting,100,1,1:40,5,Female,22,-2.117604388,0.006031647,0.008990092,0.002958445,0.120319522,-2.117604388,1:40
26,22,Cutting,210,1,3:30,5,Female,26,-2.142545787,0.006856825,0.006851448,-5.38E-06,0.1173557,-2.142545787,3:30
22,24,Cutting,495,1,8:15,5,Female,25,-2.135280307,0.00645223,0.007302603,0.000850373,0.11821145,-2.135280307,8:15
26,26,Cutting,130,1,2:10,5,Female,22,-2.135867097,0.004764787,0.005545815,0.000781028,0.118142105,-2.135867097,2:10
23,1,Cutting,245,2,4:05,5,Male,22,-2.302585093,0.02950804,0.012146963,-0.017361077,0.1,-2.302585093,4:05
22,2,Cutting,265,2,4:25,5,Male,23,-2.147396031,0.006701418,0.006128214,-0.000573203,0.116787874,-2.147396031,4:25
24,3,Cutting,195,2,3:15,5,Male,23,-2.137954346,0.008157108,0.008691801,0.000534693,0.11789577,-2.137954346,3:15
19,4,Cutting,115,2,1:55,5,Male,23,-2.137046388,0.007356058,0.007997844,0.000641786,0.118002863,-2.137046388,1:55
23,7,Cutting,180,2,3:00,5,Male,25,-2.140525398,0.006230693,0.006462659,0.000231966,0.117593044,-2.140525398,3:00
25,8,Cutting,270,2,4:30,5,Male,22,-2.144315687,0.007585527,0.007372626,-0.000212902,0.117148176,-2.144315687,4:30
21,10,Cutting,135,2,2:15,5,Male,24,NA,NA,NA,NA,NA,NA,2:15
16,11,Cutting,80,2,1:20,5,Male,22,-2.132551381,0.006326574,0.007499978,0.001173404,0.118534481,-2.132551381,1:20
24,12,Cutting,150,2,2:30,5,Male,23,-2.116924681,0.006790488,0.009830742,0.003040255,0.120401332,-2.116924681,2:30
25,13,Cutting,105,2,1:45,5,Male,22,-2.150387607,0.00858393,0.007661869,-0.000922061,0.116439016,-2.150387607,1:45
28,19,Cutting,140,2,2:20,5,Female,23,-2.129765405,0.00681288,0.008316978,0.001504098,0.118865176,-2.129765405,2:20
26,21,Cutting,100,2,1:40,5,Female,22,-2.117604388,0.006031647,0.008990092,0.002958445,0.120319522,-2.117604388,1:40
24,22,Cutting,210,2,3:30,5,Female,26,-2.142545787,0.006856825,0.006851448,-5.38E-06,0.1173557,-2.142545787,3:30
24,24,Cutting,495,2,8:15,5,Female,25,-2.135280307,0.00645223,0.007302603,0.000850373,0.11821145,-2.135280307,8:15
25,26,Cutting,130,2,2:10,5,Female,22,-2.135867097,0.004764787,0.005545815,0.000781028,0.118142105,-2.135867097,2:10
