"","Score","Sutur","Scorer","Time","Session","Sex","Age","PersBase","PersSut","SuturFinal","SuturQuality","SuturQuantity"
"28",12,3,2,"20:00",1,"Female",26,0.00762183358702741,0.011385123200983,0.00376328961395559,4,400
"29",20,6,2,"19:15",1,"Female",25,0.00880881700743211,0.00626996027125724,-0.00253885673617487,3.33333333333333,192.5
"30",15,3.5,2,"20:00",1,"Female",22,0.0070293657315276,0.0066623533756883,-0.000367012355839296,4.28571428571429,342.857142857143
"31",15,1.5,1,"20:00",2,"Male",22,0.00865211812952418,0.0095106585375058,0.000858540407981617,10,800
"32",16,3,1,"20:00",2,"Male",23,0.0126022660033297,0.00776206334471474,-0.00484020265861492,5.33333333333333,400
"33",20,4.5,1,"20:00",2,"Male",23,0.00611895778022799,NA,NA,4.44444444444444,266.666666666667
"34",18,2.5,1,"20:00",2,"Male",23,0.0061942555633028,0.00625377629701794,5.95207337151403e-05,7.2,480
"35",25,5.5,1,"16:25",2,"Male",25,0.00468026442953054,0.00467578526477115,-4.47916475939357e-06,4.54545454545455,179.090909090909
"36",21,4,1,"20:00",2,"Male",22,0.00855711678087074,0.00645820770214893,-0.00209890907872181,5.25,300
"37",12,2.5,1,"20:00",2,"Male",24,0.00668965572082166,0.00745162600322614,0.000761970282404482,4.8,480
"38",17,4,1,"20:00",2,"Male",22,0.00802784441788201,0.00666941229216748,-0.00135843212571452,4.25,300
"39",15,2,1,"20:00",2,"Male",23,0.00626830778965419,0.0068495099442372,0.000581202154583005,7.5,600
"40",16,2,1,"20:00",2,"Male",22,0.00609906837794052,0.00632729416649859,0.000228225788558077,8,600
"41",22,6,1,"17:50",2,"Female",23,0.00696477520775611,0.0063507641866729,-0.000614011021083215,3.66666666666667,178.333333333333
"42",17,2.5,1,"20:00",2,"Female",22,0.00950609028924422,0.00834706395186241,-0.00115902633738181,6.8,480
"43",23,6,1,"19:55",2,"Female",26,0.00656997883197558,0.00951032747860542,0.00294034864662983,3.83333333333333,199.166666666667
"44",22,6,1,"19:50",2,"Female",25,0.00900159465723241,0.00713620375009884,-0.00186539090713357,3.66666666666667,198.333333333333
"45",24,6,1,"18:05",2,"Female",22,0.00480078955497905,0.0054140304660829,0.000613240911103844,4,180.833333333333
"46",13,1.5,2,"20:00",2,"Male",22,0.00865211812952418,0.0095106585375058,0.000858540407981617,8.66666666666667,800
"47",19,3,2,"20:00",2,"Male",23,0.0126022660033297,0.00776206334471474,-0.00484020265861492,6.33333333333333,400
"48",22,4.5,2,"20:00",2,"Male",23,0.00611895778022799,NA,NA,4.88888888888889,266.666666666667
"49",17,2.5,2,"20:00",2,"Male",23,0.0061942555633028,0.00625377629701794,5.95207337151403e-05,6.8,480
"50",25,5.5,2,"16:25",2,"Male",25,0.00468026442953054,0.00467578526477115,-4.47916475939357e-06,4.54545454545455,179.090909090909
"51",20,4,2,"20:00",2,"Male",22,0.00855711678087074,0.00645820770214893,-0.00209890907872181,5,300
"52",14,2.5,2,"20:00",2,"Male",24,0.00668965572082166,0.00745162600322614,0.000761970282404482,5.6,480
"53",21,4,2,"20:00",2,"Male",22,0.00802784441788201,0.00666941229216748,-0.00135843212571452,5.25,300
"54",16,2,2,"20:00",2,"Male",23,0.00626830778965419,0.0068495099442372,0.000581202154583005,8,600
"55",15,2,2,"20:00",2,"Male",22,0.00609906837794052,0.00632729416649859,0.000228225788558077,7.5,600
"56",24,6,2,"17:50",2,"Female",23,0.00696477520775611,0.0063507641866729,-0.000614011021083215,4,178.333333333333
"57",19,2.5,2,"20:00",2,"Female",22,0.00950609028924422,0.00834706395186241,-0.00115902633738181,7.6,480
"58",22,6,2,"19:55",2,"Female",26,0.00656997883197558,0.00951032747860542,0.00294034864662983,3.66666666666667,199.166666666667
"59",22,6,2,"19:50",2,"Female",25,0.00900159465723241,0.00713620375009884,-0.00186539090713357,3.66666666666667,198.333333333333
"60",25,6,2,"18:05",2,"Female",22,0.00480078955497905,0.0054140304660829,0.000613240911103844,4.16666666666667,180.833333333333
"61",16,2.5,1,"20:00",3,"Male",22,0.00783281864654515,0.00801878792278548,0.000185969276240337,6.4,480
"62",16,1.5,1,"20:00",3,"Male",23,0.00728423397680454,0.00755664677448097,0.000272412797676434,10.6666666666667,800
"63",25,6,1,"15:05",3,"Male",23,0.00674298404117077,0.00791955660049745,0.00117657255932668,4.16666666666667,150.833333333333
