,Score,Scorer,Time,Session,Sex,Age,PersBase,PersCut,CutFinal,CutFinalAdjusted,CutFinalLog,,,,,,
94,14,1,2:15,4,Male,23,0.007415427,0.007506992,9.16E-05,0.117452642,-2.141720072,,,,9.15649E-05,0.117452645,-2.141720049
95,28,1,2:50,4,Male,25,0.009025241,0.006820336,-0.002204906,0.115156172,-2.161466056,,,,-0.002204906,0.115156174,-2.161466033
96,28,1,4:25,4,Male,22,0.006478232,0.006693889,0.000215657,0.117576735,-2.140664096,,,,0.000215657,0.117576737,-2.140664074
97,19,1,2:15,4,Male,24,0.007354116,0.007729419,0.000375303,0.117736381,-2.139307217,,,,0.000375303,0.117736383,-2.139307195
98,13,1,3:00,4,Male,22,0.007498998,0.009856716,0.002357718,0.119718796,-2.122609654,,,,0.002357718,0.119718798,-2.122609632
99,27,1,3:20,4,Male,23,0.006564055,0.009219518,0.002655464,0.120016541,-2.120125703,,,,0.002655464,0.120016544,-2.120125681
100,25,1,1:30,4,Male,22,0.005510568,0.004842727,-0.000667841,0.116693236,-2.148206698,,,,-0.000667841,0.116693239,-2.148206675
101,27,1,2:25,4,Female,23,0.006194297,0.007106913,0.000912617,0.118273694,-2.134753898,,,,0.000912617,0.118273697,-2.134753876
102,28,1,1:50,4,Female,22,0.006481278,0.007349012,0.000867734,0.118228812,-2.135133451,,,,0.000867734,0.118228814,-2.135133429
103,26,1,4:25,4,Female,26,0.007428798,0.007938335,0.000509536,0.117870614,-2.138167751,,,,0.000509536,0.117870616,-2.138167729
104,25,1,6:50,4,Female,25,0.006053829,0.007794351,0.001740522,0.1191016,-2.127778372,,,,0.001740522,0.119101602,-2.12777835
105,27,1,1:15,4,Female,22,0.005275333,0.004866012,-0.000409321,0.116951756,-2.145993768,,,,-0.000409321,0.116951759,-2.145993746
106,23,2,2:33,4,Male,22,NA,NA,NA,NA,NA,,,,#VALUE!,#VALUE!,#VALUE!
107,21,2,3:20,4,Male,23,0.006479966,0.006547132,6.72E-05,0.117428244,-2.141927821,,,,6.71667E-05,0.117428247,-2.141927799
108,25,2,3:45,4,Male,23,0.006272187,0.009259306,0.002987119,0.120348196,-2.117366105,,,,0.002987119,0.120348199,-2.117366083
109,15,2,2:15,4,Male,23,0.007415427,0.007506992,9.16E-05,0.117452642,-2.141720072,,,,9.15649E-05,0.117452645,-2.141720049
110,27,2,2:50,4,Male,25,0.009025241,0.006820336,-0.002204906,0.115156172,-2.161466056,,,,-0.002204906,0.115156174,-2.161466033
111,25,2,4:25,4,Male,22,0.006478232,0.006693889,0.000215657,0.117576735,-2.140664096,,,,0.000215657,0.117576737,-2.140664074
112,24,2,2:15,4,Male,24,0.007354116,0.007729419,0.000375303,0.117736381,-2.139307217,,,,0.000375303,0.117736383,-2.139307195
113,19,2,3:00,4,Male,22,0.007498998,0.009856716,0.002357718,0.119718796,-2.122609654,,,,0.002357718,0.119718798,-2.122609632
114,25,2,3:20,4,Male,23,0.006564055,0.009219518,0.002655464,0.120016541,-2.120125703,,,,0.002655464,0.120016544,-2.120125681
115,22,2,1:30,4,Male,22,0.005510568,0.004842727,-0.000667841,0.116693236,-2.148206698,,,,-0.000667841,0.116693239,-2.148206675
116,27,2,2:25,4,Female,23,0.006194297,0.007106913,0.000912617,0.118273694,-2.134753898,,,,0.000912617,0.118273697,-2.134753876
117,22,2,1:50,4,Female,22,0.006481278,0.007349012,0.000867734,0.118228812,-2.135133451,,,,0.000867734,0.118228814,-2.135133429
118,25,2,4:25,4,Female,26,0.007428798,0.007938335,0.000509536,0.117870614,-2.138167751,,,,0.000509536,0.117870616,-2.138167729
119,29,2,6:50,4,Female,25,0.006053829,0.007794351,0.001740522,0.1191016,-2.127778372,,,,0.001740522,0.119101602,-2.12777835
120,24,2,1:15,4,Female,22,0.005275333,0.004866012,-0.000409321,0.116951756,-2.145993768,,,,-0.000409321,0.116951759,-2.145993746
121,22,1,4:05,5,Male,22,0.02950804,0.012146963,-0.017361077,0.1,-2.302585093,,,,-0.017361077,0.100000003,-2.302585067
