"Score","ID","Scorer","Time","Session","Sex","Age","PersBase","PersCut","CutFinal","CutFinalAdjusted","CutFinalLog"
25,24,1,"5:20",3,"Female",25,0.00697523970671857,0.00802571920193528,0.00105047949521672,0.118411556852802,-2.13358895274157
27,26,1,"4:30",3,"Female",22,0.00529856232135774,0.00586251188624239,0.000563949564884651,0.11792502692247,-2.13770622151021
23,1,2,"8:07",3,"Male",22,0.00783281864654515,0.00697383724948338,-0.000858981397061764,0.116502095960523,-2.14984601506077
23,2,2,"5:05",3,"Male",23,0.00728423397680454,0.00834257322198404,0.00105833924517951,0.118419416602764,-2.13352257839998
26,3,2,"4:20",3,"Male",23,0.00674298404117077,0.00682919319208619,8.62091509154193e-05,0.1174472865085,-2.14176567152
14,4,2,"2:10",3,"Male",23,0.00788506135612793,0.00800347731901556,0.000118415962887624,0.117479493320473,-2.14149148556132
28,7,2,"3:00",3,"Male",25,0.00573306913373097,0.00646017434786835,0.000727105214137374,0.118088182571722,-2.13632362368365
25,8,2,"4:35",3,"Male",22,0.00772888995658864,0.00556115132487743,-0.00216773863171121,0.115193338725874,-2.16114335595232
19,10,2,"2:50",3,"Male",24,0.00688370620600058,0.00819684604215284,0.00131313983615226,0.118674217193737,-2.13137321078528
14,11,2,"2:05",3,"Male",22,0.00900002576055586,0.0117467382865487,0.00274671252599287,0.120107789883578,-2.11936569035451
25,12,2,"5:30",3,"Male",23,0.00628028670635964,0.0085612390507972,0.00228095234443755,0.119642029702022,-2.12325108028554
23,13,2,"1:45",3,"Male",22,0.00506222791795449,0.00509227061070002,3.00426927455216e-05,0.11739112005033,-2.14224401286173
26,19,2,"2:50",3,"Female",23,0.0075260137125517,0.0080391982103805,0.000513184497828801,0.117874261855414,-2.13813680014429
24,21,2,"1:55",3,"Female",22,0.00858469538540137,0.00801628661780541,-0.000568408767595958,0.116792668589989,-2.14735497947939
24,22,2,"4:30",3,"Female",26,0.00697481624541772,0.00823999931771006,0.00126518307229234,0.118626260429877,-2.1317773967776
23,24,2,"5:20",3,"Female",25,0.00697523970671857,0.00802571920193528,0.00105047949521672,0.118411556852802,-2.13358895274157
22,26,2,"4:30",3,"Female",22,0.00529856232135774,0.00586251188624239,0.000563949564884651,0.11792502692247,-2.13770622151021
22,1,1,"2:33",4,"Male",22,NA,NA,NA,NA,NA
23,2,1,"3:20",4,"Male",23,0.00647996583216498,0.00654713248972916,6.71666575641841e-05,0.117428244015149,-2.14192782117732
24,3,1,"3:45",4,"Male",23,0.00627218743652554,0.00925930605849471,0.00298711862196917,0.120348195979554,-2.11736610464892
14,4,1,"2:15",4,"Male",23,0.00741542667031174,0.00750699153756055,9.15648672488124e-05,0.117452642224834,-2.14172007153738
28,7,1,"2:50",4,"Male",25,0.00902524107173353,0.00682033556325396,-0.00220490550847957,0.115156171849105,-2.16146605580957
28,8,1,"4:25",4,"Male",22,0.00647823185217462,0.00669388931897036,0.000215657466795738,0.117576734824381,-2.14066409621518
19,10,1,"2:15",4,"Male",24,0.00735411583474922,0.00772941900647254,0.000375303171723313,0.117736380529308,-2.13930721706986
13,11,1,"3:00",4,"Male",22,0.00749899785269886,0.00985671632611365,0.0023577184734148,0.119718795831,-2.12260965425905
27,12,1,"3:20",4,"Male",23,0.00656405456053953,0.00921951838161204,0.00265546382107251,0.120016541178657,-2.12012570254411
25,13,1,"1:30",4,"Male",22,0.00551056788006227,0.00484272697751794,-0.000667840902544326,0.116693236455041,-2.14820669805264
27,19,1,"2:25",4,"Female",23,0.00619429659033838,0.00710691336280752,0.000912616772469141,0.118273694130054,-2.13475389848928
28,21,1,"1:50",4,"Female",22,0.00648127828589817,0.00734901244349757,0.000867734157599398,0.118228811515184,-2.13513345146937
26,22,1,"4:25",4,"Female",26,0.00742879830106546,0.0079383345489329,0.000509536247867436,0.117870613605452,-2.13816775097582
25,24,1,"6:50",4,"Female",25,0.00605382904428292,0.00779435130936563,0.00174052226508271,0.119101599622668,-2.12777837179027
27,26,1,"1:15",4,"Female",22,0.00527533300960183,0.00486601196414608,-0.000409321045455754,0.116951756312129,-2.14599376843214
23,1,2,"2:33",4,"Male",22,NA,NA,NA,NA,NA
21,2,2,"3:20",4,"Male",23,0.00647996583216498,0.00654713248972916,6.71666575641841e-05,0.117428244015149,-2.14192782117732
25,3,2,"3:45",4,"Male",23,0.00627218743652554,0.00925930605849471,0.00298711862196917,0.120348195979554,-2.11736610464892
15,4,2,"2:15",4,"Male",23,0.00741542667031174,0.00750699153756055,9.15648672488124e-05,0.117452642224834,-2.14172007153738
27,7,2,"2:50",4,"Male",25,0.00902524107173353,0.00682033556325396,-0.00220490550847957,0.115156171849105,-2.16146605580957
25,8,2,"4:25",4,"Male",22,0.00647823185217462,0.00669388931897036,0.000215657466795738,0.117576734824381,-2.14066409621518
24,10,2,"2:15",4,"Male",24,0.00735411583474922,0.00772941900647254,0.000375303171723313,0.117736380529308,-2.13930721706986
19,11,2,"3:00",4,"Male",22,0.00749899785269886,0.00985671632611365,0.0023577184734148,0.119718795831,-2.12260965425905
25,12,2,"3:20",4,"Male",23,0.00656405456053953,0.00921951838161204,0.00265546382107251,0.120016541178657,-2.12012570254411
22,13,2,"1:30",4,"Male",22,0.00551056788006227,0.00484272697751794,-0.000667840902544326,0.116693236455041,-2.14820669805264
27,19,2,"2:25",4,"Female",23,0.00619429659033838,0.00710691336280752,0.000912616772469141,0.118273694130054,-2.13475389848928
22,21,2,"1:50",4,"Female",22,0.00648127828589817,0.00734901244349757,0.000867734157599398,0.118228811515184,-2.13513345146937
25,22,2,"4:25",4,"Female",26,0.00742879830106546,0.0079383345489329,0.000509536247867436,0.117870613605452,-2.13816775097582
29,24,2,"6:50",4,"Female",25,0.00605382904428292,0.00779435130936563,0.00174052226508271,0.119101599622668,-2.12777837179027
24,26,2,"1:15",4,"Female",22,0.00527533300960183,0.00486601196414608,-0.000409321045455754,0.116951756312129,-2.14599376843214
22,1,1,"4:05",5,"Male",22,0.0295080403529088,0.0121469629953239,-0.0173610773575849,0.1,-2.30258509299405
24,2,1,"4:25",5,"Male",23,0.00670141755104866,0.00612821440956371,-0.000573203141484949,0.1167878742161,-2.14739603062031
25,3,1,"3:15",5,"Male",23,0.00815710828811524,0.00869180138462632,0.00053469309651108,0.117895770454096,-2.13795434609336
15,4,1,"1:55",5,"Male",23,0.00735605829624258,0.00799784440085249,0.000641786104609916,0.118002863462195,-2.13704638818213
25,7,1,"3:00",5,"Male",25,0.00623069286945623,0.0064626592063452,0.000231966336888968,0.117593043694474,-2.14052539752505
27,8,1,"4:30",5,"Male",22,0.00758552737935816,0.00737262567464508,-0.000212901704713079,0.117148175652872,-2.14431568689503
18,10,1,"2:15",5,"Male",24,NA,NA,NA,NA,NA
16,11,1,"1:20",5,"Male",22,0.00632657406470484,0.00749997779724439,0.00117340373253955,0.118534481090124,-2.13255138106983
28,12,1,"2:30",5,"Male",23,0.00679048752825319,0.00983074236657974,0.00304025483832655,0.120401332195911,-2.11692468141854
29,13,1,"1:45",5,"Male",22,0.00858393004980662,0.00766186912930206,-0.000922060920504557,0.11643901643708,-2.15038760709092
27,19,1,"2:20",5,"Female",23,0.00681287972000091,0.00831697816134515,0.00150409844134424,0.118865175798929,-2.12976540465324
25,21,1,"1:40",5,"Female",22,0.00603164696256646,0.00899009200420393,0.00295844504163748,0.120319522399222,-2.11760438820984
26,22,1,"3:30",5,"Female",26,0.00685682506144382,0.00685144754978125,-5.37751166257081e-06,0.117355699845922,-2.1425457865317
22,24,1,"8:15",5,"Female",25,0.00645222999385738,0.00730260284507166,0.000850372851214278,0.118211450208799,-2.13528030722304
26,26,1,"2:10",5,"Female",22,0.00476478667352058,0.00554581463081119,0.000781027957290618,0.118142105314876,-2.13586709675332
23,1,2,"4:05",5,"Male",22,0.0295080403529088,0.0121469629953239,-0.0173610773575849,0.1,-2.30258509299405
22,2,2,"4:25",5,"Male",23,0.00670141755104866,0.00612821440956371,-0.000573203141484949,0.1167878742161,-2.14739603062031
24,3,2,"3:15",5,"Male",23,0.00815710828811524,0.00869180138462632,0.00053469309651108,0.117895770454096,-2.13795434609336
19,4,2,"1:55",5,"Male",23,0.00735605829624258,0.00799784440085249,0.000641786104609916,0.118002863462195,-2.13704638818213
23,7,2,"3:00",5,"Male",25,0.00623069286945623,0.0064626592063452,0.000231966336888968,0.117593043694474,-2.14052539752505
25,8,2,"4:30",5,"Male",22,0.00758552737935816,0.00737262567464508,-0.000212901704713079,0.117148175652872,-2.14431568689503
21,10,2,"2:15",5,"Male",24,NA,NA,NA,NA,NA
16,11,2,"1:20",5,"Male",22,0.00632657406470484,0.00749997779724439,0.00117340373253955,0.118534481090124,-2.13255138106983
24,12,2,"2:30",5,"Male",23,0.00679048752825319,0.00983074236657974,0.00304025483832655,0.120401332195911,-2.11692468141854
25,13,2,"1:45",5,"Male",22,0.00858393004980662,0.00766186912930206,-0.000922060920504557,0.11643901643708,-2.15038760709092
28,19,2,"2:20",5,"Female",23,0.00681287972000091,0.00831697816134515,0.00150409844134424,0.118865175798929,-2.12976540465324
26,21,2,"1:40",5,"Female",22,0.00603164696256646,0.00899009200420393,0.00295844504163748,0.120319522399222,-2.11760438820984
24,22,2,"3:30",5,"Female",26,0.00685682506144382,0.00685144754978125,-5.37751166257081e-06,0.117355699845922,-2.1425457865317
24,24,2,"8:15",5,"Female",25,0.00645222999385738,0.00730260284507166,0.000850372851214278,0.118211450208799,-2.13528030722304
25,26,2,"2:10",5,"Female",22,0.00476478667352058,0.00554581463081119,0.000781027957290618,0.118142105314876,-2.13586709675332
