"","Score","Scorer","Time","Session","Sex","Age","PersBase","PersCut","PersSut"
"96",28,1,0.184027777777778,4,"Male",22,0.00647823185217462,0.00669388931897036,0.00669048607388354
"97",19,1,0.09375,4,"Male",24,0.00735411583474922,0.00772941900647254,0.00814879166088465
"98",13,1,0.125,4,"Male",22,0.00749899785269886,0.00985671632611365,0.00849174836291172
"99",27,1,0.138888888888889,4,"Male",23,0.00656405456053953,0.00921951838161204,0.00877520208063505
"100",25,1,0.0625,4,"Male",22,0.00551056788006227,0.00484272697751794,0.00530393131166996
"101",27,1,0.100694444444444,4,"Female",23,0.00619429659033838,0.00710691336280752,0.00771519720591814
"102",28,1,0.0763888888888889,4,"Female",22,0.00648127828589817,0.00734901244349757,0.010517983514959
"103",26,1,0.184027777777778,4,"Female",26,0.00742879830106546,0.0079383345489329,0.00852457647286772
"104",25,1,0.284722222222222,4,"Female",25,0.00605382904428292,0.00779435130936563,0.00869569885324261
"105",27,1,0.0520833333333333,4,"Female",22,0.00527533300960183,0.00486601196414608,0.00516070854722066
"106",23,2,0.10625,4,"Male",22,NA,NA,0.00745958510933227
"107",21,2,0.138888888888889,4,"Male",23,0.00647996583216498,0.00654713248972916,0.00578380230353384
"108",25,2,0.15625,4,"Male",23,0.00627218743652554,0.00925930605849471,0.00879820231589308
"109",15,2,0.09375,4,"Male",23,0.00741542667031174,0.00750699153756055,0.00765651420048086
"110",27,2,0.118055555555556,4,"Male",25,0.00902524107173353,0.00682033556325396,0.00852803667736436
"111",25,2,0.184027777777778,4,"Male",22,0.00647823185217462,0.00669388931897036,0.00669048607388354
"112",24,2,0.09375,4,"Male",24,0.00735411583474922,0.00772941900647254,0.00814879166088465
"113",19,2,0.125,4,"Male",22,0.00749899785269886,0.00985671632611365,0.00849174836291172
"114",25,2,0.138888888888889,4,"Male",23,0.00656405456053953,0.00921951838161204,0.00877520208063505
"115",22,2,0.0625,4,"Male",22,0.00551056788006227,0.00484272697751794,0.00530393131166996
"116",27,2,0.100694444444444,4,"Female",23,0.00619429659033838,0.00710691336280752,0.00771519720591814
"117",22,2,0.0763888888888889,4,"Female",22,0.00648127828589817,0.00734901244349757,0.010517983514959
"118",25,2,0.184027777777778,4,"Female",26,0.00742879830106546,0.0079383345489329,0.00852457647286772
"119",29,2,0.284722222222222,4,"Female",25,0.00605382904428292,0.00779435130936563,0.00869569885324261
"120",24,2,0.0520833333333333,4,"Female",22,0.00527533300960183,0.00486601196414608,0.00516070854722066
"121",22,1,0.170138888888889,5,"Male",22,0.0295080403529088,0.0121469629953239,NA
"122",24,1,0.184027777777778,5,"Male",23,0.00670141755104866,0.00612821440956371,0.00588983752282066
"123",25,1,0.135416666666667,5,"Male",23,0.00815710828811524,0.00869180138462632,0.00793928668954455
"124",15,1,0.0798611111111111,5,"Male",23,0.00735605829624258,0.00799784440085249,0.00792308552065309
"125",25,1,0.125,5,"Male",25,0.00623069286945623,0.0064626592063452,0.00707677690405858
"126",27,1,0.1875,5,"Male",22,0.00758552737935816,0.00737262567464508,0.00662965848355637
"127",18,1,0.09375,5,"Male",24,NA,NA,NA
"128",16,1,0.0555555555555556,5,"Male",22,0.00632657406470484,0.00749997779724439,0.00736281541366736
"129",28,1,0.104166666666667,5,"Male",23,0.00679048752825319,0.00983074236657974,0.00790493454659614
"130",29,1,0.0729166666666667,5,"Male",22,0.00858393004980662,0.00766186912930206,0.00861348117065938
"131",27,1,0.0972222222222222,5,"Female",23,0.00681287972000091,0.00831697816134515,0.00822991896611
